code,equipment_family,severity,title,description,primary_signal,recommended_first_check
LP-CLAMP-014,LOAD_PORT_FOUP_CLAMP,HIGH,Clamp Done Sensor Not Detected,Clamp command was issued but clamp done sensor did not turn ON.,DI_CLAMP_DONE,Check clamp done sensor LED and bracket alignment
ECAT-STATE-021,LOAD_PORT_FOUP_CLAMP,HIGH,EtherCAT Slave Not OP,EtherCAT slave remains in PRE_OP or SAFE_OP after initialization.,ETHERCAT_STATE,"Check link LED, station alias, ESI mismatch"
LP-DOOR-007,LOAD_PORT_FOUP_CLAMP,MEDIUM,Door Closed Sensor Mismatch,Door close command complete but closed sensor mismatch.,DI_DOOR_CLOSED,Check door close sensor and mechanical obstruction
LP-PRESENCE-003,LOAD_PORT_FOUP_CLAMP,MEDIUM,FOUP Presence Inconsistent,FOUP presence sensor flickering or inconsistent.,DI_FOUP_PRESENT,Check presence sensor contamination and cable
LP-MAP-019,LOAD_PORT_FOUP_CLAMP,MEDIUM,Mapping Sensor Timeout,Wafer mapping did not finish in expected time.,DI_MAP_HOME,Check mapping arm home sensor
LP-DEMO-006,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 06,Synthetic demo alarm 06 for Load Port troubleshooting scenario.,DI_FOUP_PRESENT,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-007,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 07,Synthetic demo alarm 07 for Load Port troubleshooting scenario.,ECAT_SLAVE_STATE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-008,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 08,Synthetic demo alarm 08 for Load Port troubleshooting scenario.,DI_CLAMP_DONE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-009,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 09,Synthetic demo alarm 09 for Load Port troubleshooting scenario.,DI_DOOR_CLOSED,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-010,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 10,Synthetic demo alarm 10 for Load Port troubleshooting scenario.,DI_FOUP_PRESENT,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-011,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 11,Synthetic demo alarm 11 for Load Port troubleshooting scenario.,ECAT_SLAVE_STATE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-012,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 12,Synthetic demo alarm 12 for Load Port troubleshooting scenario.,DI_CLAMP_DONE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-013,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 13,Synthetic demo alarm 13 for Load Port troubleshooting scenario.,DI_DOOR_CLOSED,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-014,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 14,Synthetic demo alarm 14 for Load Port troubleshooting scenario.,DI_FOUP_PRESENT,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-015,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 15,Synthetic demo alarm 15 for Load Port troubleshooting scenario.,ECAT_SLAVE_STATE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-016,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 16,Synthetic demo alarm 16 for Load Port troubleshooting scenario.,DI_CLAMP_DONE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-017,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 17,Synthetic demo alarm 17 for Load Port troubleshooting scenario.,DI_DOOR_CLOSED,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-018,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 18,Synthetic demo alarm 18 for Load Port troubleshooting scenario.,DI_FOUP_PRESENT,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-019,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 19,Synthetic demo alarm 19 for Load Port troubleshooting scenario.,ECAT_SLAVE_STATE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-020,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 20,Synthetic demo alarm 20 for Load Port troubleshooting scenario.,DI_CLAMP_DONE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-021,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 21,Synthetic demo alarm 21 for Load Port troubleshooting scenario.,DI_DOOR_CLOSED,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-022,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 22,Synthetic demo alarm 22 for Load Port troubleshooting scenario.,DI_FOUP_PRESENT,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-023,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 23,Synthetic demo alarm 23 for Load Port troubleshooting scenario.,ECAT_SLAVE_STATE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-024,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 24,Synthetic demo alarm 24 for Load Port troubleshooting scenario.,DI_CLAMP_DONE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-025,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 25,Synthetic demo alarm 25 for Load Port troubleshooting scenario.,DI_DOOR_CLOSED,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-026,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 26,Synthetic demo alarm 26 for Load Port troubleshooting scenario.,DI_FOUP_PRESENT,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-027,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 27,Synthetic demo alarm 27 for Load Port troubleshooting scenario.,ECAT_SLAVE_STATE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-028,LOAD_PORT_FOUP_CLAMP,MEDIUM,Demo Load Port Diagnostic Alarm 28,Synthetic demo alarm 28 for Load Port troubleshooting scenario.,DI_CLAMP_DONE,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-029,LOAD_PORT_FOUP_CLAMP,HIGH,Demo Load Port Diagnostic Alarm 29,Synthetic demo alarm 29 for Load Port troubleshooting scenario.,DI_DOOR_CLOSED,"Review related sensor state, wiring, and recent maintenance history."
LP-DEMO-030,LOAD_PORT_FOUP_CLAMP,LOW,Demo Load Port Diagnostic Alarm 30,Synthetic demo alarm 30 for Load Port troubleshooting scenario.,DI_FOUP_PRESENT,"Review related sensor state, wiring, and recent maintenance history."
